LocationID,OBJECTID,X,Y,Shape_Leng,Shape_Area,zone,borough
1,1,935223.0266,190535.0526,0.116357453,0.000782307,Newark Airport,EWR
2,2,1032515.672,167292.4932,0.433469667,0.00486634,Jamaica Bay,Queens
3,3,1025882.735,254779.6006,0.084341106,0.000314414,Allerton/Pelham Gardens,Bronx
4,4,990618.7951,203105.5323,0.043566527,0.000111872,Alphabet City,Manhattan
5,5,931467.9628,139837.4784,0.09214649,0.000497957,Arden Heights,Staten Island
6,6,965428.9907,157538.1873,0.150490543,0.000606461,Arrochar/Fort Wadsworth,Staten Island
7,7,1005999.211,216570.1602,0.107417171,0.000389788,Astoria,Queens
8,8,1005519.389,222953.6698,0.027590691,2.66E-05,Astoria Park,Queens
9,9,1042979.892,214199.9913,0.099784092,0.000338444,Auburndale,Queens
10,10,1042036.075,186404.2457,0.099839479,0.000435824,Baisley Park,Queens
11,11,981302.2496,159321.9404,0.079211039,0.000264521,Bath Beach,Brooklyn
12,12,979954.989,195212.3219,0.036661301,4.15E-05,Battery Park,Manhattan
13,13,979781.1033,198536.3805,0.050281323,0.000149359,Battery Park City,Manhattan
14,14,975797.9399,166466.4165,0.175213698,0.001381778,Bay Ridge,Brooklyn
15,15,1042966.344,225424.58,0.144336223,0.000925219,Bay Terrace/Fort Totten,Queens
16,16,1047503.935,216688.0688,0.141291874,0.000871889,Bayside,Queens
17,17,998342.7423,191392.6395,0.093522633,0.000322958,Bedford,Brooklyn
18,18,1015524.983,255811.6162,0.06979955,0.00014885,Bedford Park,Bronx
19,19,1059665.197,207710.5081,0.101824875,0.000546661,Bellerose,Queens
20,20,1015775.56,251807.9383,0.051440192,0.000134513,Belmont,Bronx
21,21,989442.568,158619.632,0.115973569,0.000380251,Bensonhurst East,Brooklyn
22,22,985833.472,161380.1201,0.126170229,0.000472063,Bensonhurst West,Brooklyn
23,23,939978.1196,160646.8523,0.290556029,0.002195566,Bloomfield/Emerson Hill,Staten Island
24,24,993782.5748,231481.0489,0.046999962,6.07E-05,Bloomingdale,Manhattan
25,25,988005.4733,189064.6011,0.04714582,0.000124168,Boerum Hill,Brooklyn
26,26,987147.7987,168296.9402,0.123547807,0.00053404,Borough Park,Brooklyn
27,27,1009318.866,142929.9855,0.202508809,0.001340888,Breezy Point/Fort Tilden/Riis Beach,Queens
28,28,1037665.211,198318.0765,0.097960782,0.000291204,Briarwood/Jamaica Hills,Queens
29,29,995199.7664,151388.4311,0.071408313,0.000201674,Brighton Beach,Brooklyn
30,30,1034204.644,159698.9392,0.094509767,0.000145862,Broad Channel,Queens
31,31,1018627.22,252594.2001,0.096424567,0.000333976,Bronx Park,Bronx
32,32,1021694.52,254249.6344,0.054267216,0.000150879,Bronxdale,Bronx
33,33,985545.3081,192934.8845,0.053270293,0.000147417,Brooklyn Heights,Brooklyn
34,34,993206.1127,195239.324,0.065705932,0.000173946,Brooklyn Navy Yard,Brooklyn
35,35,1008530.375,181132.3401,0.085787919,0.000323825,Brownsville,Brooklyn
36,36,1007385.523,193982.9001,0.087050787,0.000247666,Bushwick North,Brooklyn
37,37,1004784.246,192954.1407,0.14281004,0.000452063,Bushwick South,Brooklyn
38,38,1057584.3,191973.4128,0.083217569,0.000327393,Cambria Heights,Queens
39,39,1012066.256,172053.1118,0.132369621,0.000900283,Canarsie,Brooklyn
40,40,985409.9396,186473.8264,0.051850665,0.000108949,Carroll Gardens,Brooklyn
41,41,997520.5889,232274.1626,0.052793109,0.000143093,Central Harlem,Manhattan
42,42,1000990.471,238412.2291,0.092709227,0.000263897,Central Harlem North,Manhattan
43,43,993784.3667,224349.9169,0.099738618,0.000379663,Central Park,Manhattan
44,44,920436.3369,131469.1414,0.235688968,0.001944656,Charleston/Tottenville,Staten Island
45,45,984734.4197,199062.7027,0.045906863,9.14E-05,Chinatown,Manhattan
46,46,1043322.207,248116.4989,0.13447543,0.000926392,City Island,Bronx
47,47,1012767.08,247425.531,0.089827556,0.000163198,Claremont/Bathgate,Bronx
48,48,987059.9306,216980.2975,0.043746744,9.43E-05,Clinton East,Manhattan
49,49,993974.8786,190123.2803,0.075290018,0.000203186,Clinton Hill,Brooklyn
